akrobat,杂技,中国語で「アクロバット(曲芸)」を表す標準的な語が「杂技」。1文字では適当な字が無く、2文字熟語の中では比較的画数も少なめ。,「杂(9画)」「技(7画)」はいずれも他の言葉にも応用しやすい常用字。
monopol,独占,「独占」は日本語でも「独占」と書き、意味が通じる。中国語では「垄断」の方が経済学的に正式だが、「独占」も通じやすい。画数的にもやや抑えめ。,「独(9画)」「占(5画)」。今後「独」を「一人」「独立」などにも流用可能。
monomani,偏执,「偏执狂」は「パラノイア(偏執狂)」の意味で広く知られるが、2文字に抑えるなら「偏执」も「偏執(的思い込み)」を指し示す表現として無難。,「偏(9画)」「执(6画)」。若干画数は多めだが、他候補(「偏执狂」など3文字)より短縮。
solecism,语病,「语病」は「言葉(文章)の誤り」を指す簡潔な常用表現。「谬误(誤り)」もあるが、文法違反のニュアンスには「语病」が適当。,「语(9画)」「病(10画)」。どちらも初級～中級レベルで学ぶことが多い。
monolog,独白,「独白」は「一人語り・モノローグ」の定訳。中国語でも舞台や文学で用いられる。,「独(9画)」「白(5画)」。上記の「独占」でも「独」を使用しており重複利用可能。
monoton,单调,「単調な」の意味に最も一般的な簡体字表現が「单调」。,「单(8画)」「调(10画)」。やや画数は多いが、中国語では非常に頻出の組み合わせ。
unison,齐奏,音楽用語の「ユニゾン」は中国語で「齐奏」が一般的(「齐唱」「齐奏」など)。,「齐(6画)」「奏(9画)」。いずれも音楽関連で再利用しやすい。
liber,自由,「自由」は日中共通で「free」の意味を表す最も基本的な単語。,「自(6画)」「由(5画)」。ともに頻出のため習得メリット大。
liberal,自由主义,"政治思想としての「リベラル」は中国語で「自由主义」が一般的(「自由派」などもあるが本来は""主義""が対応)。",「自由(前項で登場)」＋「主义(主=5画＋义=3画)」。すでに「自」「由」を使っているため、新規導入は「主」「义」の2字。
improviz,即兴,「即兴」は「即興」の意で、中国語の定番表現。1文字化は困難なので2文字で対応。,「即(7～9画と数え方により差)」「兴(6画)」。よく使われる熟語なので覚えやすい。
spontane,自发,「自发(的)」は「自発的」「自然に起こる」「スパontaneous」の意味で用いられる。,「自(6画)」「发(5画)」。既出の「自」を再利用。
kapric,任性,「気まぐれ・わがまま・勝手な」の意に近い。「任性」は日本語圏でも「任性」と書くので意味が取りやすい。,「任(6画)」「性(8画)」。次の arbitr と同じ「任」を再利用。
arbitr,任意,「任意」は「arbitrary」を指す非常に一般的な2文字熟語。,「任(6画)」「意(13画)」。前項「任性」と「任」を共有。
naturalism,自然主义,芸術上の「自然主義」は中国語で「自然主义」が最も定番。,「自然(既出)」＋「主义(前出)」。新規要素は特になく、合成で対応可能。
natur,自然,「自然」は最も直接的な訳語。既に複数回出ているため再利用可能。,「自(6画)」「然(12画)」。頻出のため学習メリットも大。
instinkt,本能,「本能」は日本語・中国語共に同形同義で分かりやすい。,「本(5画)」「能(10画)」。常用であり、応用範囲も広い。
aŭtograf,亲笔,「自笔」は中国語ではあまり一般的でなく、「亲笔(自身の手で書いた)」が通例。サイン・筆跡を指す文脈に合う。,「亲(9画)」「笔(10画)」。やや画数多めだが意味は分かりやすい。
aŭtobiografi,自传,「自传」は「自伝」を意味する標準的な表記。,「自(6画)」「传(6画)」。すでに「自」は多用。新出「传」(伝の簡体)も比較的頻度高め。
individu,个人,「个人」は「個人」を意味する中国語の基本表現。,「个(3画)」「人(2画)」。非常に画数が少なく学習コストが低い。
propr,固有,「固有」は「そのものに本来備わっている性質」を示す。日中いずれも馴染みのある表現。,「固(8画)」「有(6画)」。常用字であり応用もしやすい。
privat,私人,「私人」は「私的な/プライベート(個人所有・個人的)」を指す短い熟語。,「私(7画)」「人(2画)」。いずれも基本字で覚えやすい。
aŭtonom,自治,「自治」は「自ら治める」→自治の意味に最も直接的。,「自(6画)」「治(8画)」。既出「自」の再利用により負担軽減。
mem,自己,「自己」は「自分自身」を表すのに中国語でも常用。「亲自」「本⼈」なども近いが、汎用性は「自己」が最も高い。,「自(6画)」「己(3画)」。すでに「自」は多用しているため追加は「己」のみ。
antipod,对跖,「対蹠地(=地球上で正反対の地点)」は中国語で「对跖点」などと書くのが通例。2文字に省略し「对跖」。,「对(5画)」「跖(12画)」。特殊用語ゆえ少し難しいが妥当な簡略形。
kontrapunkt,对位,音楽理論での「対位法」は中国語で「对位」が基本。「对位法」と3文字になる場合もあるが、2文字で十分通じる。,「对(5画)」「位(7画)」。上項の「对」を再利用。
paradoks,悖论,中国語で「パラドックス」に相当する標準的な訳語は「悖论」です。日本語の「逆説」とは字面が異なるものの、中国語では「悖论」が定着しています。,新規2文字（「悖」「论」）。いずれも日本語話者にはやや馴染みが薄いかもしれませんが、中国語圏では意味が明確に通じます。
invers,逆,「逆」は「反対方向」「逆方向」「反転」を意味し、inverse・reverse のニュアンスに最も近い単字です。,新規1文字。日本語の「逆」と同形で、意味も通じやすい。
mal,反,エスペラントで「mal-」は「正反対」を表す接頭辞で、中国語の「反」(反対・逆) と非常に対応が良い。,新規1文字。「反」は今後、他の「反対」「反抗」などにも使い回せる可能性が高い。
rezist,抗,中国語の「抵抗」「抗拒」など「抗」を含む表現が多く、意味がわかりやすい。,新規1文字。以降、同じ「抗」を「protest（抗議する）」にも再利用可能。
konflikt,争,本来は「冲突」が標準的ですが、単字化を優先し画数を抑えるため「争」を採用。「争」は「争う/争い」で「衝突」「対立」など「コンフリクト」に近いニュアンスを伝えられる。,新規1文字。「争」は日本語でも馴染みがあり、中国語でも「争论」「战争」など多用される。
antipati,厌,「嫌う」「嫌悪する」「うんざりする」といった否定的感情を示す単字として、「厌」を採用。中国語で「厌恶」「厌倦」などにも使われる。,新規1文字。日本語話者にも「厭う」という形で比較的認知しやすい。
opozici,反,政治的反対(反対派)を表す標準的表記は「反对」だが、単字化のため「反」を再利用。,既出文字(3番の「mal」と同じ「反」)。語頭に付く「mal-」とは区別が必要だが、同じ字を使い回す方針により学習コストを削減。
opozici##,反,上と同様。「opozici」との語形違い(動詞/名詞)だが、同一字「反」を使い回す。,既出文字「反」を再利用。
protest,抗,「抗議」を表す中国語は「抗议」。単字化のため「抗」を流用。,既出文字(4番「rezist」と同じ)。
opon,反,「(に)反対する」という意味。すでに「反」を割り当てているので再利用が自然。,既出文字「反」。
ekstaz,狂,本来「狂喜(=エクスタシー)」が近いが2文字になるため、単字「狂」で「狂乱」「熱狂」のイメージを表す。,新規1文字。
apostrof,撇号,中国語ではアポストロフィを「撇号(piěhào)」と呼ぶのが通例。単字での対訳は存在しないため2文字割当とする。,新規2文字（「撇」「号」）。やや画数が多くなるが、他に単字適用が難しい。
abiturient,毕,「毕业(卒業)」の「毕」を単字で転用。高等学校卒業を示す語根に近いイメージを一字で表せる。,新規1文字。「毕」は卒業・完了の意味合いが広く中国語圏では理解しやすい。
pasiv,被,中国語の文法で受身を示す際、「被」を用いるのが一般的。,新規1文字。日本語にも「被告」「被害者」などで用いられるため意味を連想しやすい。
diplom,证,本来「文凭」が標準訳だが、単字「证」(証明書・証書)である程度「免状」「資格証明」の意味をカバー。,新規1文字。日本語の「証」と同形(旧字体は「證」)なので連想可能。
laks,泻,「下痢」は中国語で「腹泻」。単字化として「泻」(流れ出す、下痢)が最も近い。,新規1文字。「泄」と混同に注意が必要だが、「泻」は下痢文脈で使われる。
dispepsi,,「消化不良」を単字で表すのは困難。熟語「消化不良」は4文字となり学習コストが高い。ここでは割当を見送る。,(割当なし)
marasm,弱,極度衰弱のニュアンスを簡体字1文字にするのは難しいが、「弱」(よわい)で衰弱・虚弱を連想可能。,新規1文字。日本語「弱い」と同形。
letargi,昏,「昏睡」「昏倒」など意識が朦朧とする状態を表す。昏睡=lethargy/stuporに近い。,新規1文字。
fiask,败,「失败」は「失敗」「挫折」を意味し、fiasco(大失敗)を端的に表しやすい。単字化で「败」を採用。,新規1文字。
mis,误,エスペラントの「mis-」接頭辞(誤り)を、中国語の「错误」「误解」などに用いる「误」で表現。,新規1文字。
erar,误,「(を)誤る」「間違える」の動詞的用法。すでに「mis」用に割当済みの「误」を再利用。,既出文字「误」。
deficit,亏,「亏损(赤字・損失)」の「亏」で「不足・欠損」のニュアンスが通じる。,新規1文字。比較的画数が少なく、日本語の「亏」は馴染み薄いが、中国語圏では「赤字」「損失」を連想できる。
mank,欠,「欠けている」「不足している」を簡潔に表す単字。「欠陥」「欠席」などでも使われ、日本語・中国語とも通じやすい。,新規1文字(4画)で画数が少なく学習しやすい。
perd,失,「失う」「失去」を端的に示す最も基本的な漢字。,新規1文字(5画)。日本語の「失敗」「失恋」などからも意味を連想しやすい。
pesimism,悲观,「悲观(=悲観)」は日本語話者にも意味が分かりやすい,新規(悲・观)
pesimist,悲观者,「悲観論者」の中国語表現。単に「悲观」よりも「悲观论(者)」のほうが、悲観論者であることが明確,「悲观」とは重複利用で、者(新規)のみ追加
sentimental,感伤,中国語で「感傷的」に相当。日本語「感傷」に近い,感(やや画数多)、伤(少) ともに新規
nostalgi,怀旧,中国語で「懐旧・懐かしむ」に相当。日本語でも「懐(怀)」「旧」は意味を推測しやすい,怀・旧 ともに新規
splen,忧郁,「憂鬱(病)」に近い表現。中国語でも「忧郁」は「メランコリー」的,忧・郁 ともに新規
melankoli,忧郁,「憂鬱」とほぼ同義なので同じ熟語を割当,既出(5番と同じ「忧郁」)
kriz,危机,中国語で危機を表す一般的熟語,危・机 ともに新規
panik,恐慌,中国語で「恐慌」はパニックを指す常用表現,恐・慌 ともに新規
embaras,尴尬,当惑や気まずさを指す標準的な中国語表現,尴・尬 ともに新規
aflikt,苦恼,「苦悩」「悩ませる」ニュアンスに近く、中国語でも常用,苦・恼 ともに新規
angor,苦闷,「苦悶」「苦しむ」感を表しやすい,苦(既出)・闷(新規)
malic,恶意,「悪意」の中国語標準形,恶・意 ともに新規
aĉ,劣,「粗悪・劣悪」のイメージを1文字に集約,新規
fi,卑,「下劣」「卑しい」を示す1字で、日本語圏もイメージしやすい,新規
negativ,负,マイナス的・否定的を1字で象徴(「负面=ネガティブ」など),新規
minus,减,「マイナス」「引き算」を連想できる代表的1字,新規
anarki,无政府,「無政府状態」を表す標準的な中国語熟語,无・政・府 ともに新規
anakronism,时代错误,「時代錯誤」の中国語表現として一般的(やや専門用語),时・代・错・误 ともに新規
skism,分裂,「(団体の)分裂」の意味に合致,分(画数少)・裂(やや多) ともに新規
ĥaos,混沌,「混沌」の漢訳として一般的,混・沌 ともに新規
kaos,混沌,上記同義語なので同じ割当,既出(20番と同じ「混沌」)
kalendar,日历,「日」+「历」でカレンダーを指す,日(新規)・历(新規)
almanak,年历,「年」+「历」で「年鑑」や「年暦」のイメージに近い,年(新規)・历(既出)
kronik,年代记,編年史=「年代记」の形で簡潔に,年(既出)・代(既出)・记(新規)
kronologi,年表,「年代学」→「年表」が直感的かつ簡潔,年(既出)・表(新規)
horloĝ,钟,「鐘(とけい)」の意味が分かりやすく、時計を想起しやすい,"すでに使っている部首は特になし。比較的画数(9画)は多めだが、「表」だと""表面""など他義が多く混乱しやすいため「钟」を採用。"
akurat,准,「準(正確な)」「準時(時間厳守)」を連想しやすい,"新規使用。10画だが、""正確さ""""時間厳守""のニュアンスを1字で示しやすい。"
temp,时,「時間(时)」を直接表す1字で明快,以後「hor」にも流用予定なので学習コスト削減になる。
hor,时,"「時(小时, 時刻)」に相当。「temp(時)」と同字割当だが区別は読み・表記上で行う",既出字「时」を再利用し、総漢字種類を抑える。
zenit,天顶,「天の頂」を意味する熟語で分かりやすい,"「天」(本リスト後半にも登場)と「顶」(""いただき""の意味)の組合せ。2文字だが直感的。"
eklips,蚀,"「月食」「日食」で使われる""蚀""を1字で",新規使用。画数(9画)はあるが、日/月「食(しょく)」のイメージに直結。
vesper,晚,「晩(夕方)」「傍晚(夕暮れ)」などで馴染みがあり、意味が取りやすい,新規使用。11画とやや多いが、中国語でも日本語でも「夕方」を連想できる。
nokt,夜,「夜(夜间)」を1字で端的に表せる,新規使用。8画。
maten,早,「早(朝)」「早晨(あさ)」の意味が明快,新規使用。6画で書きやすい。
krepusk,昏,"「昏(くらい, 薄暗い)」「黄昏(たそがれ)」を想起させ、朝夕の薄明を連想しやすい","新規使用。8画。厳密には""夕方""寄りだが、1字で「薄明」を示す手段として採用。"
ĉiel,天,「天空」「天の様子」などを想起しやすく、日中両言語で意味を取りやすい,今後(12番など)でも再用。画数4画で学習しやすい。
ĉiel##,天,(上と同根扱い)「天」「空」,既出字「天」を再利用し、重複を減らす。
spac,空,「空(くう)」「空间(空間)」を連想できる,新規使用(画数8画)。日本語の「空(そら)」とも関連し、覚えやすい。
kosm,宇宙,「cosmos(宇宙観)」に対応、最も一般的な二字熟語,新規使用。2文字だが広く通用し、日本語・中国語いずれも直感的。
univers,宇宙,「universe(宇宙)」に対応。上記「kosm」と同義だが、漢字は使い回し,14番と同じ「宇宙」を再利用し、学習コストを抑える。
raket,火箭,「ロケット」の標準的訳語,新規使用。2文字(「火」4画+「箭」15画)だが、中国語圏で非常に分かりやすい。
stel,星,「星(ほし)」を直接表す基本字,新規使用(9画)。
planed,行星,「惑星」の標準表記,"2文字(「行」6画+「星」9画)。1字だと「星」と重複して""星全般""に。惑星を区別するため熟語採用。"
komet,彗星,「彗星(すいせい)」で通用,2文字(「彗」11画+「星」9画)。1字「彗」だけでは伝わりにくいため、熟語で明確化。
efemer,短暂,「短くて儚い」ニュアンスを持つ熟語。,新規使用(「短」12画+「暂」8画=20画)。やや画数多めだが意義がはっきり伝わる。
lavang,雪崩,「雪崩」の標準表記,新規使用(「雪」11画+「崩」11画=22画)。1字では難しいため2字熟語。
frivol,轻浮,「軽率」「軽薄」の意味がはっきりする熟語,新規使用(「轻」8画+「浮」10画=18画)。
inkognit,微行,古来よりある「(貴人が)お忍びで外出する」意味。簡潔,"新規使用(「微」13画+「行」6画=19画)。他候補「匿名」なども近いが、""お忍び""のニュアンスとしてこちらを選択。"
et,小,縮小辞・小さいイメージに直結,新規使用(3画)。非常に基本的で学習が容易。
jun,年轻,「若い」を最も直接的に表す中国語熟語,新規使用(「年」6画+「轻」8画=14画)。1字化すると誤解が生じやすいため2文字採用。
knab,少年,「boy」の意味として日中ともに比較的わかりやすい,単字「少」だと「少ない」の意味が強く混乱を招くため、2文字熟語「少年」を採用
cigan,吉普赛,ジプシーを表す中国語の一般的な音訳,単字では表しづらい外来概念のため、やむを得ず3文字表記
pigme,侏儒,「小柄な人・ピグミー」の意。「侏」(背が低い)＋「儒」(ここでは「人」のニュアンスに近い)で「小人」を指す,単字「侏」でも「小人」の意だが、2文字熟語のほうが定着
kanajl,匪,「匪」は「ならず者・匪賊」の意。悪党・ごろつきを端的に示す,「悪棍」や「歹徒」など2文字もあるが、1文字で済む「匪」を優先
kramp,夹,「はさむ・かすがい・クランプ」の意に近く、画数が比較的少ない,日本語では「挟」に相当するが、簡体字で画数を抑えた「夹」を採用
pokal,杯,杯全般を指す1文字。ゴブレット・さかずきなど「杯」は広義に使いやすい,単字で通じやすい
pioĉ,镐,「つるはし」を表す最も代表的な簡体字,画数は多めだが、単字で「つるはし」を示す他の適切案が少ない
ĉarnir,合页,「ちょうつがい」を指す簡体字熟語,単字表記が存在せず、かつ2文字で比較的コンパクトなので「合页」を採用
stup,渣,"「麻くず・(繊維)くず」のように""かす""や""残渣""を表せる単字",厳密には「麻渣」等が正確だが、1文字化優先で「渣」を提案
bek,喙,「くちばし」を意味する代表的単字,"簡体字・日本語双方で""鳥のくちばし""の意味が通りやすい"
funel,漏斗,じょうごを表す一般的な2文字熟語,単字が存在しないため2文字で対応
lam,跛,「足の不自由な」「びっこの」という意味に近い単字,「瘸」もあるが画数がより少ない「跛」を優先
balbut,口吃,「どもる・吃音」を示す代表的熟語,1文字で「どもる」意は難しいため2文字「口吃」を採用
jug,轭,「くびき・轭」を表す簡体字,単字で意味がはっきりしており画数も少なめ
rukt,嗝,「げっぷ・しゃっくり」の音を指す単字,"「打嗝」は2文字だが、1文字「嗝」で""嗝をする""ニュアンスが通じる"
ĝib,驼,「こぶ(特にラクダのこぶ)」「曲がった背」を連想させる字,「駝(驼)背」で「猫背/曲がった背」を意味するため転用が容易
tuber,节,「こぶ・節・塊状」をイメージさせる汎用性のある字,厳密には「瘤」「疙瘩」などもあるが、画数を抑えて「節」の簡体字「节」を優先
ĉifon,破,「ぼろぎれ・破れ・壊れた」の概念に近い単字,厳密には「破布」「烂布」などの2字もあるが1文字「破」で対応
kojn,楔,「くさび」を意味する代表的な単字,他に候補がなく、やむを得ず画数は多めでも「楔」
dorn,刺,「トゲ・刺す」を表す単字,日中ともに常用であり画数も少なめ
veruk,疣,「いぼ」を指す代表的な単字,日本語では常用外だが、中国語圏では「wart」を示す文字として認識される
roman,长篇,「長編小説」の省略形として一般的(「长篇小说」も可),2文字で「長編」の意が明確
novel,小说,「小説」全般を指す簡体字熟語,短編小説にも使われ、日中で広く通じる
tragikomedi,悲喜剧,「悲喜劇」の標準的表現,3文字だが中国語圏でこの表記が定着
dram,剧,「戯曲・劇」を最も端的に示す単字,既出「悲喜剧」の「剧」と同じ字を再利用
komedi,喜剧,「喜劇」の簡体字表記であり、中国語母語話者・日本語母語話者の双方にとって意味が分かりやすい。,「喜」(12画)と「剧」(10画)の2文字からなるが、「剧」は後述で他の語にも使いやすい(「劇」関連を表す)可能性がある。
histori,史,「歴史」(日本語)や「历史」(中国語)に含まれる単一字。「史」自体が「歴史」の意を有する。,5画と画数も少なく、覚えやすい。単字で「歴史」を示せるので重宝。
biografi,传记,現代標準中国語で「伝記」を表す一般的な語。「传」だけでも古典的には「列伝」等で伝記を示すが、現代では「传记」の方が誤解が少ない。,「传」(6画)と「记」(5画)の2文字。どちらも頻出字なので後々使い回しが期待できる。
alegori,寓言,中国語で「寓言」は比喩・象徴を含んだ物語や寓話全般を指し、アレゴリー(たとえ話)にも対応しやすい。,「寓」(11画)＋「言」(7画)の計18画とやや多いが、後述の「fab(l)」等とも共有できる可能性がある(寓言=寓話・例え話)。
anekdot,轶事,「逸話」の簡体字表記。中国語の一般的な言い方。「逸」の簡体が「轶」。,「轶」(9画)と「事」(8画)。「事」は後述の「事件」「事故」などにも使われるので使い回し可能。
fabl,寓言,「寓話」の中国語表現として定着している。実際、「alegori(寓言)」と重複する面があるが、どちらも「寓言」として通用しやすい。,すでに上記(4)で「寓言」を割当済みなので、全く同じ字で対応可能。追加学習コストはゼロ。
fabel,童话,「童話」の簡体字表記。中国語では「童话」が「子ども向けの物語」を意味する。,「童」(12画)＋「话」(7画)。どちらも中国語学習初期によく出る常用字。
legend,传说,中国語で「伝説」を意味する一般的な表現。「传奇」もあるが、ややニュアンス(物語的・武侠的)が強い場合が多いので「传说」を推奨。,「传」は(3)で既出、「说」は(7)の「话」と同じ「讠」偏を含むため、偏旁学習の効率は悪くない。
mit,神话,中国語で「神話」を表す標準的な言い方。,「神」(9画)＋「话」(7画)。すでに「话」は(7)「童话」と同じ字。
sort,命运,中国語で「命运」は「運命」「宿命」を表す代表的な語。,「命」(8画)＋「运」(7画)。後述する「運」関連の割当にも流用できるかもしれない。
fatal,宿命,日本語の「宿命」にかなり近く、中国語でも同様の意味を持つ。,「宿」(11画)＋「命」(8画)。(10)「命运」と一部重複。
event,事件,"「事件」は「出来事」「事柄(特に重大なもの)」を意味し、英語の""event""の感覚に比較的近い。",「事」(8画)は(5)・(16)等と同じ、「件」(6画)もごく一般的な字。
epizod,插曲,中国語で「挿話的エピソード」「合間に挿入される小話や出来事」などを示す言い方として使われる。,「插」(10画)＋「曲」(6画)。画数は中程度。
eventual,可能,「起こり得る」＝「可能性がある」というニュアンスを中国語の常用表現に合わせた。,「可」(5画)＋「能」(10画)。どちらも頻出のため学習価値が高い。
okaz,发生,"中国語の「发生」は「起こる」「発生する」の意で、エスペラント""okaz(起こる)""に対応しやすい。",「发」(5画)＋「生」(5画)で比較的画数は少なめ。
akcident,事故,「事故」は日本語・中国語ともに同形(簡体字でも同じ)で、偶発的な不測の出来事を指す。,「事」は(5)(12)等と同じ字、「故」(9画)は中国語でもよく使う。
ŝanc,机会,「機会」「チャンス」に対応する中国語の一般的表現。,「机」(6画)＋「会」(6画)。いずれも初級で学ぶ頻出字。
hazard,偶然,「偶然」「思いがけない」出来事・状況を示す表現として広く使われる。,「偶」(11画)＋「然」(12画)でやや多めだが、意味の分かりやすさを重視。
atavism,返祖,「返祖現象」と呼ばれる、祖先の形質が隔世遺伝的に現れる意味を直接表す。,「返」(7画)＋「祖」(9画)。二字熟語だが、概念を簡潔に伝えられる。
genealogi,家谱,中国語で「家谱」は家系図・系譜を指す。,"「家」(10画)＋「谱」(13画)。「谱」は""楽譜""や""谱系""などで使用頻度が一定ある。"
etnografi,民族志,「民族誌(学)」をそのまま表現する中国語の一般的な書き方。,「民」(5画)＋「族」(11画)＋「志」(7画)と三文字だが、「民族」はしばしば(22)(23)(24)あたりとも関連し、学習価値あり。
ras,种族,中国語で「種族」「人種」を示す際、現代語でよく使われるのが「种族」。,「种」(7画)＋「族」(11画)。どちらも後述や前述で重複利用し得る。
gent,族,「民族」「氏族」「部族」などの「族」の部分を単字で割り当て。,(22)(21)などですでに使う「族」と同じ。文字重複でコスト削減。
etn,民,「民族(人種)」の「民(people)」を抽出し、単字化。「etn(エスニック)」の核心イメージに合致する。,(21)「民」(5画)はすでに登場しており、重複利用できる。
human,仁,"「人間的・人道的・博愛的」などを総合して表す際、中国語・日本語ともに「仁」は""人間味ある慈愛""を示す字として伝わりやすい。",「人」でなく「仁」を使うことで「思いやり・ヒューマニズム」のニュアンスを強調。画数はわずか4画と少ない。
ul,者,「ul」は「～の人」を表す接尾辞なので、「者」が最も近い機能をもつ単字。日中双方で「～の人」というニュアンスで用いられる。,画数は8画だが、他の用例（～者）にも使えるため汎用性が高い。
oni,众,「oni」は「人々」「不特定の人たち」を指すエスペラントの非人称代名詞。中国語の「众」は「大勢・多数の人」という意味で、「不特定多数の人々」のニュアンスに近い。,4画で比較的シンプル。日本語話者にも「衆(旧字)」として意味を連想しやすい。
hom,人,"「hom」は「人間・人」を意味する最も基本的な語根。中国語の「人」はまさに""人間""を指す字であり、最適。",2画と非常に少ない。日中ともに同じく「人」と認識しやすい。
person,人,「person」も「人」を意味するため、「hom」と同じ「人」を再利用。,すでに「hom」にも割当済みのため、新規文字は増えない。区別は振り仮名等で補う。
pleb,民,「pleb」は「平民」「一般民衆」を意味し、中国語「民」には「人民・庶民」の意があるため対応がよい。,5画。広く「民衆・一般人」を表す字として汎用性が高い。
civil,民,「civil」は「市民の・民間の・文民の」などの意味。中国語で「民用」「平民」の「民」と対応させやすい。,既出の「民」を使い回し。
naci,国,「naci」は「国民・国家・民族」を表す語根。中国語の「国」は「国家」「国」を指し、最も直接的。,8画。国家概念を表す基本字として妥当。
popol,民,「popol」は「人民」「国民」「大衆」を指す。中国語の「人民」「平民」「公民」など「民」を含む語が多いため、「民」再利用。,既出文字で重複割当。
civilizaci,文明,"「civilizaci」は「文明」を意味し、漢語としても「文明」が定着している。1字で""文明""を示すのは難しいため2文字熟語を選択。",新たに「文(4画)」「明(8画)」を導入。ただし「文」は文化関連で再利用可能性が高い。
social,社,「social」は「社会的な・社会の」を意味し、中国語で「社会(shèhuì)」の「社」を用いて簡略化。,7画。やや画数はあるが、「社会」の略記として把握しやすい。
soci,社,「soci」は「社会」を指す語根。「social」と同じく「社」で対応可能。,既出文字の再利用。
prolet,无产,「prolet」は「プロレタリア（無産階級の一員）」を表す。中国語の「无产(阶级)」が近い概念。最小限2文字で「无产」とした。,新たに「无(4画)」「产(5画)」。今後「无」や「产」は他の派生語で再利用可能性あり。
proletari,无产,「proletari」も「プロレタリア階級」を意味し、本質的に12)と同義の派生なので同じ「无产」を流用。,既出の「无产」を再利用。
nomad,游牧,「nomad」は「遊牧民」を意味する。中国語では「游牧(の人々)」という表現が最も一般的で、2文字熟語「游牧」が対応可。,新規に「游(12画)」「牧(8画)」。ただし放棄するよりは概念対応を優先。
